Creole,English
Reggae,Reggae
Chupid, Stupid
Nah bai,No boy
Wah, What
Wuh, What
Gyalis, A ladies' man
Bligh, To lend or give
Lash, To beat or hit
Macocious, Nosy
Steups,I'm annoyed
Zess,Party
Lagniappe,Bonus
Mamaguy,Trick
Tuition,bribe 
Wassup?, What's happening?
Dey, There
Eefin', Evading 
Lorse, To lose
Tanty, old woman
Cobo,small amount of money
Licks, Beatings
Oo monsta,What's up
my g,my friend
wam dawg,What happened?
everyting cool?,Is everything cool?
O dawg,What's up?
Ah wah,I want
Father lawd,Jesus help me 
lix ,beating
fed up,Fed up
d ,the
you so,people like you
Ah , I
eh , ain't
ah lime, a get together
lix , beating
fed up, tired
d , the
waiz , what is
modda , mother
fadda , father
fada , father
boi , boy
dey , they
yuh so, people like you
ah wah, I want
laterz dey,Goodbye
laters dey,Goodbye
Father lawd, Jesus help me 
rhel bad,really cool
Hush yuhself, Be quiet
We jammin', We're having a good time
Dem hot, They are attractive
Nah stress, Don't stress
Yuh inno?, You don't know?
Sweet hand, Skillful 
Doh fraid, Don't be afraid
Cut eye,side-eye
De pan, Steelpan
Jab jab,Carnival character
Playing mas, Participating in Masquerade
Pelt waist, Dance energetically
Limin' spot,hangout spot
Lick down,Knock down
Rhel bad, Really cool
Oh geed, Oh my god
Father lawd, Jesus help me
Oh geed, That is disgusting
You so, People like you
Ah wah, I want
Laters dey, Goodbye
Wam dawg, How are you?
how everyting, How is everything?
Wayz bai,Unfortunate
Meen know, I don't know
say dat again dey,can you repeat?
you an all,You too?
yuh makin joke,you can't be serious
yuh look fuh dat,it is your fault
Whey yuh say, Can you repeat that?
You an all, You too?
Yuh makin joke, You can't be serious
Yuh look fuh dat, It is your fault
Waz de scene, How are you?
Come nah boi, I am being serious
Skinnin yuh teet, Grinning
Skinnin yuh teeth, Grinning
Tabanca, Still holding feelings
Wah foolishness is this, That was foolish
Know how long meen see you, I have not seen you in a long time
Oo monsta, What's up
Eyyy, look who 
Long time no see, friend
My g, My friend
Wais d word dawg, What's up bro
Everyting cool, How is everything
Wais d order, What's up
leh we go by d shop,Let's go to the store
we limin by d river,We are hanging out by the river
yuh comin down d road,Are you coming down the road?
stop yuh carryin on,Stop your behavior
dey watchin de game,They are watching the game
ah go call yuh back,I will call you back
yuh eatin that roti,Are you eating that roti?
she lookin real sweet,She looks very nice
red gyal,lightskin girl
red man,lightskin man
i love off,I really like them
red gyal is headache,Lightskin girls come with problems
what's de scene for tonight,What's the plan for tonight?
yuh bringin yuh crew,Are you bringing your friends?
ah feelin real tired,I am feeling very tired
wwgd,What will we do?
Oo dawg how yuh goin,How are you going?
Oo dawg waz de scene,How are you going?
Oo dawg how de family,How is your family?
Zaboca,Avocado
yuh ketch ah vaps owa,You suddenly angry?
Soucouyant,vampire
Eh Heh,Is that so?
i fedup,I am annoyed
you rhell dotish bai,You are really stupid
buh wah dotishness is this is seeing,That was really stupid
meeno who is you,I do not know who you are
waz de scene,How are you
waz d scn,How are you
waz de scn,How are you
waz d scene,How are you
waz di scene,How are you
waz di scn,How are you
waiz d scn,How are you
waiz de scene,How are you
waiz d scene,How are you
come nah boi,I am being serious
wais d scn,How are you
wais de scn,How are you
wais de scene,How are you
wais d scene,How are you
wuz de scene,How are you?
wuz d scene,How are you?
wuz d scn,How are you?
wuz de scn,How are you?
Father lawd,Jesus help me
blaze a trail,lead the way
lagniappe,a little extra
Deewali,Divali
macajuel,a large snake
dutty wine,a dance move
toolum,gossip
fuh real,for real
pon de endz,in the neighborhood
allyuh good?,are you all good?
jab jab,masqueraders
vex money,Emergency money
dingolay,celebrate joyfully
pappyshow,a ridiculous situation
cut yuh eye,give a disdainful look
buh eh nah,But isn't it
beatin' pan,playing the steelpan
bake,to fry
liming spot,a popular hangout
we goin',We are going
gyal yuh too sweet,You're too attractive
sweet fuh days,Very pleasant
wham to dem,What happened to them
fresh,Stylish
bubblin',Excited
pass meh,Excuse me
make style,Show off
stink and dutty,Disgusting
wining queen,Excellent dancer
meh heart,My love
meh darlin',My darling
Breds, Close friends
Maco, Eavesdrop 
Doh study meh, Don't pay attention to me
D'Vice, Device or gadget
Smallie, A young girl or woman
Yuh look fuh dat, It's your fault
lewwe lime,let's hangout
crappo smoke yuh pipe,You're going to get badluck
wah yuh rhelly telling yuhself,what are you telling to yourself
crappo soke yuh pipe,you're in trouble
yuh fadda is a glassmaker owa,you think you're made of glass?
dfmu,don't mess with me
I hadda hit yuh scene,I have something to tell you
juss now,Hold on
doh make ah scene,don't create a scene
ease meh up,give me a break
gimme a chance,give me a break
gimme sumn to eat,give me something to eat
I wah sumn to eat,I want something to eat
ah waz bathing,i was bathing
presha bai,stressful
wen ah do so,when I did this
ah wah sum ting tuh eat,I want something to eat
sum ting,something
tings hard,it's stressful
ah goin out tuh come back,I am going out
chain up yuh head,fool you
tie up yuh head,trick you
yuh fadda head,your father's head
oh geed,disgusting
toting,holding feelings
stop toting,stop holding feelings
yuh sure bai,are you sure?
lewwe press,let's go
ah have a scene tuh hit yuh,I have something to tell you
hear dis nah,listen to this
hear dis ,listen to this
sandy grandy,Sangre Grande
sawa,San Juan
sando,San Fernando
chagaramas,Chaguaramas
shagaramas,Chaguaramas
ah goin sando,I am going to San Fernando
ah going chagaramas,I am going to Chaguaramas
ah going point,I am going to Point Fortin
ah cooking pelau,I am cooking pelau
ah cooking,I am cooking
"waz de scene, yuh liming lata owa",How are you? Are you hanging out later or what
yuh dotish owa,Are you stupid or what?
yuh dotish,You're stupid
waz d scene bai,How are you?
bai ah tired,I am tired
stop dat,Stop that
juss now,Hold on a second
doh make ah scene,Avoid causing a commotion
ease meh up,Give me a moment of relief
gimme a chance,Allow me an opportunity
gimme sumn to eat,Offer me a bite
I wah sumn to eat,I'm in the mood for a snack
ah waz bathing,I was in the shower
presha bai,"Under pressure, buddy"
wen ah do so,Back when I did that
ah wah sum ting tuh eat,I'm craving something to munch on
sum ting,Anything
tings hard,Things are tough
ah goin out tuh come back,"I'm stepping out, be back soon"
chain up yuh head,Don't let them fool you
tie up yuh head,Don't be deceived
yuh fadda head,Nonsense
oh geed,Ew
toting,Bottling up emotions
stop toting,Release those feelings
yuh sure bai,Are you certain?
lewwe press,Let's get moving
ah have a scene tuh hit yuh,I've got something to share with you
hear dis nah,Listen to this now
ah goin sando,Heading to San Fernando
ah going chagaramas,I'm heading to Chaguaramas
ah going point,I'm heading to Point Fortin
ah cooking pelau,I'm in the kitchen making pelau
ah cooking,I'm in the kitchen cooking
"waz de scene, yuh liming lata owa",What's up? You hanging out later or what?
waz d scene bai,How's it going?
bai ah tired,I'm tired
"Hold on, ah comin'","Hold on, I'm coming"
"Doh worry, we go handle it","Don't worry, we will handle it"
Yuh lookin' sweet,You look nice
Gimme dat,Give me that
Ah just coolin' out,I'm just chilling
Latas dey,"Later, I'm leaving"
"Waz d word, how yuh makin' out?","What's up, how are you doing?"
"Gimme a chance, show meh","Give me a chance, show me"
Stop yuh carryin' on,Stop your behavior
Waz de scene for de weekend?,What's the plan for the weekend?
Waz de essence of friendship?,What's the essence of friendship?
Wey yuh get dat dress?,Where did you get that dress?
Wey yuh bringin' dat vibe from?,Where are you bringing that vibe from?
Ah wah sumn sweet,I want something sweet
Jusso,Just so
Stop dat,Stop that
Hold on,Wait a moment
Doh worry,Don't worry
Ah feelin' ah vibes,I'm feeling good vibes
Waz de scene?,What's going on?
Wey yuh dey?,Where are you?
Waz d word?,What's up?
Gimme a chance,Give me a chance
Waz de plan?,What's the plan?
Yuh bringin' vibes,You're bringing good vibes
Waz d highlight?,What's the highlight?
Wey yuh get dat?,Where did you get that?
Yuh ever been?,Have you ever been?
Waz de secret?,What's the secret?
Waz de essence?,What's the essence?
Wey yuh discover?,Where did you discover?
Ah juss dey embracin,I'm just embracing
Waz de impact?,What's the impact?
Ah just dey resonate,I'm just resonating
Waz de heartbeat?,What's the heartbeat?
Ah hear yuh been explorin',I heard you've been exploring
gimme sum money,give me some money
Oo dawg yuh have anyting to eat?,"Hey, do you have anything to eat?"
dat gyul is vybz,That girl is vibes
Wukkin' tmr,Working tomorrow
Kicksin' up, Causing trouble
Doh stick, Don't hesitate
Fuh real, Seriously?
Small ting, A minor issue
Vex money, Extra money
Sweet hand, Skillful
Whole day, All day long
Fuh real?, Is that true?
Bligh meh, Lend me a hand
Go long, Go ahead
Yuh limin'?, Are you hanging out?
Ah lime,A get together
Yuh lime?, Are you hanging out?
Doh vex, Don't get angry
Meh bredren, My friend
Dey sayin', They are saying
Deh deh, Average
Hard ears, A stubborn person
Playin' mas, Participating in Carnival masquerade
Sweet man,Handsome man
Watchin' meh,Watching me
Eyyy look who,Long time no see
wais d order,What's up
Skinnin yuh teet,Grinning
Skinnin yuh teeth,Grinning
whey yuh say,Can you repeat?
you an all, You too?
yuh makin joke, you can't be serious
whey yuh say, Can you repeat?
yuh makin joke,  you can't be serious
waz de scene, How are you
come nah boi, I am being serious
Skinnin yuh teet,grinning
Skinnin yuh teeth,grinning
Oo monsta , What's up
wais d order, What's up
wais d order, What's up  
waiz d scn, How are you?
waiz de scene, How are you?
waiz d scene, How are you?
wais d scn, How are you?
wais de scene, How are you?
wais d scene, How are you?
hush yuh mout, Be quiet
Waz de vybz?,What's the vibes
Wey yuh sayin?, What are you saying?
Yuh makin' joke?, Are you joking
Bake and shark,Bake and shark
Bess lime ever, The best hangout ever
Wey de maco?, Where is the eavesdropper
Tabanca mashin' meh, Heartbreak is hurting me
Wey yuh from?, Where are you from?
Meh belly full,My belly is full
Buh wait nah, Hold on a minute
Doh be late, Don't be tardy
Yuh reach yet?, Have you arrived yet?
Dat ting dread, That situation is bad
Wey yuh dey?, Where are you?
Ah doh know, I don't know
Meh head hurtin', I have a headache
Yuh fallin' back, You're losing focus
Yuh go see, You will find out
Yuh makin' joke?, Are you joking?
Yuh pumpin' tunes?, Are you playing music?
Meh belly bussin', I'm very full
Meh shoe spoil, My shoe is damaged
De music pumpin', The music is loud and energetic
Yuh makin' moves, You're making progress
Ah go dead, I'm going to die
yuh want dis, Do you want this
doh be late, Don't be late
yuh reach yet, Have you arrived yet
Yuh reach yet, Have you arrived yet
Eyyy look who, Long time no see friend
Whey yuh dey?, Where are you?
Waz de vybz?,What's the vibes?
Stop yuh bacchanal, Stop causing trouble
We just coolin', We're just relaxing
Doh trouble nobody, Don't bother anyone
Weh yuh sayin'?, What are you saying?
Doh study meh, Don't worry about me
Wham to you!, What's going on with you?
In d fete, In the party
Waz de scene?, How are things?
Me eh business, I don't care
Mih say so, That's what I said
Mih belly full, I'm full after eating
Mih head hurtin', I have a headache
Doh study dat, Don't worry about it
Doh bother, Don't bother
Yuh have manners, You're polite
Waz di order?, What's the plan?
Mih shoe spoil, My shoe is damaged
Bussin' a lime, Hanging out with friends
Meh head heavy, I'm feeling overwhelmed
Dem gyul plenty, They have many girls
Mind yuh business, Mind your own business
Yuh givin' trouble, You're causing problems
Wham tuh yuh?, What's happening with you?
Wham tuh he?, What's happening with him?
Yuh meet he?, Have you met by chance?
Yuh bossin' , You're bossing 
Yuh gettin' old, You're getting old
Yuh like dat?, Do you like that?
Meh likkle piece, A small amount
Yuh makin' joke, Are you kidding?
Ah tink so, I think so
Yuh fuh real?, Are you serious?
Meh hand heavy, I'm feeling lazy
Ah fed up, I'm frustrated or fed up
Ting tun up, Something is fantastic or exciting
Ah buyin' drinks, I'm buying drinks for everyone
Gih me dat, Give that to me
Yuh too slow, You're too slow
Mih hand itchin', My hand is itching (superstition about receiving money)
Yuh takin' long, You're taking a while
Meh han' dirty, My hands are dirty
Yuh tun up, You're excited and lively
Put someting dey, Add something there
Wais d word dawg,what's up bro
yuh look fuh dat, it is your fault
Eyyy look who , long time no see friend 
Yuh winin' or whinin'?, Are you dancing sensually or energetically
Ah tink ah lost, I think I'm lost
Yuh have any change?, Do you have any small bills or coins
Ah on meh way, I'm on my way
De roti real spicy, The roti is very spicy
Ah feelin' to fete, I'm in the mood to party
Yuh cyah be serious, You can't be serious
Doh leave meh hangin', Don't leave me waiting
Ah comin' just now, I'll be there shortly
Deh make ah scene, They are causing a disturbance
Yuh bring ah vibes, You bring a good atmosphere
Buh wait ah comin', Hold on I'm coming
Yuh gettin' on bad, You're misbehaving
Buh wah yuh say?, What did you say?
Dat was rel bacchanal, That was a real chaotic situation
Dat was ah vibes, That was a great experience
Ah feelin' ah vibes, I'm feeling a good energy
Wey yuh gettin' at?, What are you trying to say?
Yuh lookin' good gyul, You're looking attractive girl
De party startin' now, The party is beginning
Ah havin' ah time, I'm having a great time
Dey makin' ah scene, They are causing a commotion
Yuh limin' by yuhself?, Are you hanging out alone?
Ah gettin' ready now, I'm getting ready at the moment
Ah reachin' deh now, I'm almost there
De food smellin' nice, The food smells delicious
Yuh want ah drink?, Do you want a drink?
Ah feelin' de vybz, I'm feeling the good vibes
Ah just coolin' out, I'm just relaxing
Ah feelin' tuh party, I'm in the mood to party
Yuh ready to fete?, Are you ready to party?
Yuh have de scene?, Do you have the plans or situation?
Gih meh ah bly, Give me a chance
ah on mih way, I'm on my way
yuh look fuh dat, It is your fault
Wah foolishness is this, that was foolish
She makin' ah scene, She's causing a commotion
Yuh makin' ah fuss, You're making a fuss
She bringin' de vibes, She's creating a good atmosphere
Yuh like ah souse?, Do you like souse (a Trinidadian dish)?
Waz de ting gyul?, What's up
Yuh pumpin' tuh soca?, Are you playing soca music?
Yuh makin' ah joke, You're making a joke
We feelin' deh scene, We're feeling the plans or situation
Yuh makin' ah link-up?, Are you making plans to meet?
Yuh cyah play yuhself, Don't act like a fool
Yuh is ah vibes, You're a lively person
Yuh in de fete?, Are you at the party?
She likin' de steelpan, She enjoys the steelpan music
Dey pumpin' de soca, They're playing soca music
Deh bringin' de energy, They're bringing the good vibes
Yuh bringin' yuh a-game?, Are you bringing your best effort?
She always causin' bacchanal, She's always causing trouble
Yuh bouncin' and groovin'?, Are you dancing and moving to the music?
She wukkin' she waist, She's dancing and moving her hips
De scene was live, The atmosphere was lively
Yuh pumpin' ah vibe, You're creating a good atmosphere
Ah just enjoyin' mihself, I'm just enjoying myself
Ah pumpin' soca music, I'm playing soca music
Deh enjoyin' de lime, They're having a great time hanging out
She likin' de calypso, She enjoys calypso music
Yuh bringin' de vibes, You're bringing a good atmosphere
Yuh pumpin' de tunes, You're playing the music
De bacchanal was epic, The chaos was legendary
We pumpin' de vibes, We're creating a good atmosphere
Ah feelin' rel irie, I'm feeling really good
She likin' de dancehall, She enjoys dancehall music
Yuh pumpin' de reggae, Are you playing reggae music?
We pumpin' calypso music, We're playing calypso music
Ah eatin' ah food, I'm having a meal
Mashin' up d place, Causing a stir or commotion
She lookin' tuh wine, She wants to dance closely
Is you say dat, You said that
Ah comin' jus now, I'll be there shortly
Ah gain some weight, I've gained some weight
Doh get tie up, Don't get involved
Me eh see yuh, I haven't seen you
Yuh on d low, You're being secretive
Yuh doh know dat?, Don't you know that?
Yuh doh know meh?, You don't know me?
Like yuh eh business, As if you don't care
Wah foolishness is this , that was foolish
Yuh have a scene later?, Do you have plans later
Ah go make ah link, I will meet you later
Ah have ah cold one, I have a cold drink
Yuh havin' a good time?, Are you enjoying yourself?
Ah have mih own ting, I have my own thing going on
Ah feelin' for ah bake, I'm craving a bake
Ah go make it up, I'll make amends
Yuh gyul is ah vibes, Your girlfriend is lively
Ah have ah little ting, I have a small matter to attend to
She lookin' for ah wine, She's looking to dance closely with someone
Ah feelin' tuh cool down, I want to relax
Ah just takin' it easy, I'm taking things slowly
Yuh gettin' on meh nerves, You're irritating me
Yuh bouncin' or yuh leavin'?, Are you dancing or leaving?
Ah feelin' fuh ah swim, I want to go for a swim
Ah on mih way home, I'm on my way home
Ah feelin' fuh ah lime, I want to hang out with friend
We go link up later, We will meet later
Deh limin' by de bar, They're hanging out by the bar
Dem gyal is ah vibes, Those girls are lively
We havin' ah good time, We're having a great time
Waz de plan for later?, What are the plans for later?
We makin' ah link after, We'll meet up later
She limin' with she friends, She's hanging out with her friends
She gyul ah real bess, She's a really great girl
Ah jus' takin' it slow, I'm taking it easy
Ah goin' to de beach, I'm going to the beach
De music is real sweet, The music is very enjoyable
She give me ah wine, She danced closely with me
De weather lookin' real nice, The weather is looking great
We relaxin' by de river, We're relaxing by the river
Yuh cyah hold meh back, You can't stop me
Ah jammin' wid mih people, I'm hanging out with my friends
She is ah vibes gyul, She's a lively girl
We go make ah scene, We'll create a commotion
Yuh got dem good genes, You have good qualities
De vibes was real nice, The atmosphere was very pleasant
Waz de story for tonight?, What's the plan for tonight?
We gih dem ah scene, We invited them to hang out
Ah givin' it meh best, I'm giving it my best effort
De vibes was rel sweet, The atmosphere was very enjoyable
We doh like no confusion, We don't like chaos
Deh givin' dem a scene, They're creating a commotion
She likin' de party scene, She enjoys the party atmosphere
We reachin' for de stars, We're aiming for success
Ah feelin' ah good vybz, I'm feeling a good atmosphere
Yuh hangin' by de beach, Are you hanging out by the beach?
We limin' by de river, We're hanging out by the river
Ah chillin' by de pool, I'm relaxing by the pool
We limin' with dem fellas, We're hanging out with the guys
Yuh like ah good pelau?, Do you like a good pelau (a Trinidadian dish)?
She limin' with she posse, She's hanging out with her friends
Yuh doh wan no confusion, You don't want any chaos
We coolin' in de fete, We're relaxing at the party
We makin' moves to succeed, We're taking action to succeed
Yuh bringin' de soca tunes, You're playing soca music
Ah givin' it meh all, I'm giving it my all
She likin' de reggae music, She enjoys reggae music
Yuh hear dat new calypso?, Did you hear the new calypso?
De vybz was real sweet, The atmosphere was very enjoyable
She likin' de soca beats, She enjoys the soca beats
We doh like no trouble, We don't like trouble
Yuh bringin' de good vybz, You're bringing a good atmosphere
Deh makin' ah big scene, They're causing a big commotion
We reachin' ah next level, We're taking it to the next level
She likin' de vibes music, She enjoys the vibes music
Yuh hangin' with yuh people?, Are you hanging out with your friends?
She is ah vibes queen, She's the queen of good energy
Ah just takin' it slow, I'm taking it easy
Ah jammin' by de river, I'm hanging out by the river
Dey gyul is mih heart, That girl is my sweetheart
She plenty in yuh business, She's very nosy about you
Meh gihin' it a try, I'm trying it ou
Know how long meen see you,I have not seen you in a long time
Yuh have ah scene for Carnival?, Are you participating in Carnival
Yuh limin' or you dey home?, Are you hanging out or staying at home?
Yuh bringin' vibes to de party, You're bringing a good atmosphere to the party
Waz de scene for de night?, What are the plans for tonight?
Yuh have yuh famalay with you?, Do you have your family with you?
Yuh know she get on bad, You know she misbehaves
Waz de flavor ah de roti?, What's the flavor of the roti?
Dey bringin' ah lime to we, They're inviting us to hang out
She lookin' tuh meet a fella, She's looking to meet a guy
We have tuh make ah move, We need to take action
